"Sexe","Section","Note","Succes"
"Masculin","GM",5.5,1
"Masculin","EL",4.5,1
"Féminin","EL",5.75,1
"Masculin","GM",4,1
"Masculin","EL",3.75,0
"Masculin","GM",4,1
"Masculin","GM",5.75,1
"Masculin","GM",4,1
"Masculin","GM",4.75,1
"Féminin","EL",5.5,1
"Masculin","GM",4.75,1
"Masculin","GM",4,1
"Masculin","GM",4.25,1
"Masculin","GM",4.5,1
"Masculin","GM",5.25,1
"Féminin","GM",5,1
"Masculin","EL",5.5,1
"Masculin","GM",6,1
"Masculin","GM",4,1
"Masculin","GM",4,1
"Masculin","GM",4,1
"Masculin","GM",4.75,1
"Masculin","GM",3.75,0
"Masculin","GM",3.5,0
"Masculin","GM",4,1
"Masculin","GM",3.5,0
"Masculin","GM",5.75,1
"Masculin","GM",4.5,1
"Masculin","GM",3,0
"Masculin","GM",6,1
"Féminin","GM",2.75,0
"Féminin","GM",5,1
"Masculin","GM",5.25,1
"Masculin","GM",5,1
"Féminin","GM",5.25,1
"Masculin","GM",5,1
"Masculin","EL",6,1
"Masculin","GM",4.75,1
"Masculin","GM",5,1
"Masculin","GM",6,1
"Masculin","GM",4,1
"Masculin","GM",4,1
"Masculin","GM",4,1
"Masculin","GM",3.5,0
"Masculin","GM",5.75,1
"Masculin","GM",4.75,1
"Masculin","GM",4.75,1
"Masculin","GM",5.25,1
"Masculin","GM",4.25,1
"Masculin","GM",5.5,1
"Masculin","GM",5,1
"Masculin","GM",6,1
"Masculin","GM",5.25,1
"Masculin","GM",4.25,1
"Masculin","GM",4.75,1
"Masculin","GM",4.5,1
"Masculin","GM",4.75,1
"Féminin","EL",5.75,1
"Féminin","GM",3.75,0
"Masculin","GM",5.25,1
"Féminin","EL",4.25,1
"Masculin","GM",5.25,1
"Féminin","GM",4.25,1
"Masculin","GM",4.5,1
"Masculin","GM",4,1
"Masculin","EL",4.25,1
"Masculin","GM",5.5,1
"Masculin","GM",4,1
"Masculin","GM",4.75,1
"Masculin","GM",4.5,1
"Masculin","GM",5.75,1
"Masculin","GM",5.25,1
"Masculin","GM",4.75,1
"Féminin","GM",5.5,1
"Féminin","EL",4.5,1
"Masculin","GM",5,1
"Masculin","EL",5,1
"Masculin","EL",6,1
"Féminin","GM",4,1
"Masculin","GM",4.75,1
"Masculin","GM",5,1
"Masculin","EL",6,1
"Masculin","EL",4,1
"Masculin","GM",5,1
"Masculin","GM",3.75,0
"Masculin","GM",5.25,1
"Masculin","GM",5.5,1
"Masculin","GM",2.75,0
"Masculin","GM",5,1
"Masculin","EL",6,1
"Masculin","GM",5.25,1
"Masculin","GM",4,1
"Masculin","GM",5,1
"Masculin","GM",5.25,1
"Masculin","GM",6,1
"Masculin","GM",5.5,1
"Masculin","EL",3,0
"Masculin","GM",2.25,0
"Masculin","GM",3.5,0
"Masculin","GM",4.75,1
"Féminin","EL",4.25,1
"Masculin","GM",5.25,1
"Masculin","EL",5.25,1
"Masculin","GM",5,1
"Masculin","GM",5,1
"Masculin","GM",4.5,1
"Masculin","GM",4.75,1
"Masculin","GM",4,1
"Masculin","EL",5.75,1
"Masculin","GM",5.5,1
"Masculin","GM",3,0
"Masculin","GM",3.5,0
"Masculin","GM",3.25,0
"Masculin","GM",3.75,0
"Masculin","GM",5,1
"Masculin","EL",5,1
"Féminin","EL",4.25,1
"Masculin","EL",3.25,0
"Masculin","EL",6,1
"Féminin","EL",3,0
"Masculin","GM",6,1
"Masculin","EL",3.75,0
"Masculin","GM",5.25,1
"Masculin","GM",4.5,1
"Féminin","GM",3.75,0
"Masculin","EL",5.5,1
"Masculin","GM",6,1
"Masculin","GM",5.75,1
"Masculin","EL",4.25,1
"Masculin","GM",3,0
"Masculin","GM",4.5,1
"Masculin","GM",3.75,0
"Féminin","GM",2.5,0
"Masculin","GM",4.5,1
"Masculin","GM",3.5,0
"Féminin","GM",4.5,1
"Masculin","GM",4,1
"Masculin","EL",5.25,1
"Masculin","GM",4.25,1
"Masculin","GM",4.25,1
"Masculin","GM",4,1
"Féminin","GM",5.25,1
"Masculin","GM",5.25,1
"Masculin","GM",5.75,1
"Masculin","GM",3,0
"Masculin","GM",4.25,1
"Masculin","GM",4.5,1
"Masculin","GM",4.75,1
"Masculin","GM",4.5,1
"Masculin","GM",4.25,1
"Masculin","EL",3.75,0
"Masculin","GM",3.75,0
"Masculin","EL",4.25,1
"Masculin","GM",4.5,1
"Masculin","GM",4.25,1
"Masculin","GM",5.25,1
"Masculin","GM",5,1
"Féminin","GM",5,1
"Masculin","GM",4.75,1
"Masculin","GM",5.5,1
"Masculin","GM",5.5,1
"Féminin","GM",5.5,1
"Masculin","GM",4.5,1
"Masculin","GM",4,1
"Masculin","GM",5,1
"Masculin","GM",5.75,1
"Masculin","GM",5.25,1
"Masculin","GM",5.25,1
"Féminin","GM",4,1
"Masculin","GM",4.75,1
"Masculin","GM",4.75,1
"Masculin","GM",5.5,1
"Masculin","GM",4.75,1
"Masculin","GM",6,1
"Masculin","EL",6,1
"Masculin","GM",4.75,1
"Masculin","GM",6,1
"Masculin","GM",4.75,1
"Masculin","EL",5,1
"Masculin","EL",4.75,1
"Masculin","EL",4.25,1
"Masculin","GM",4,1
"Féminin","GM",3.75,0
"Masculin","GM",6,1
"Masculin","GM",4.75,1
"Féminin","EL",3.5,0
"Masculin","EL",5.25,1
"Masculin","GM",4.5,1
"Masculin","GM",6,1
"Masculin","GM",5.5,1
"Masculin","EL",3.75,0
"Masculin","GM",3.75,0
"Masculin","GM",5.5,1
"Féminin","GM",5.25,1
"Masculin","GM",5.5,1
"Masculin","GM",3.75,0
"Masculin","GM",3.75,0
"Masculin","GM",5.25,1
"Masculin","GM",4.5,1
"Masculin","EL",3.5,0
"Masculin","GM",3.5,0
"Masculin","GM",4.25,1
"Masculin","EL",5.25,1
"Masculin","GM",6,1
"Masculin","GM",5,1
"Masculin","GM",5.75,1
"Masculin","GM",5.25,1
"Masculin","GM",5.25,1
"Masculin","GM",5.5,1
"Masculin","GM",4.75,1
"Masculin","EL",5.75,1
"Masculin","GM",5.75,1
"Féminin","GM",3.75,0
"Masculin","GM",5.5,1
"Féminin","GM",4.5,1
"Masculin","GM",5.25,1
"Féminin","EL",5.5,1
"Masculin","EL",5.75,1
"Masculin","GM",5,1
"Masculin","GM",4.5,1
"Masculin","GM",4.75,1
"Féminin","EL",3.75,0
"Masculin","GM",5,1
"Masculin","EL",4.5,1
"Féminin","EL",4.75,1
"Masculin","EL",4,1
"Masculin","GM",5.25,1
"Masculin","GM",4,1
"Masculin","GM",4.25,1
"Masculin","EL",3.75,0
"Masculin","EL",4.25,1
"Masculin","GM",3.75,0
"Masculin","GM",4.5,1
"Masculin","GM",4.5,1
"Masculin","GM",3,0
"Masculin","GM",5.5,1
"Masculin","EL",5,1
